IdLocalidade;Localidade;Municipio;UF
002905;NOVA OLINDA DO MARANHAO;NOVA OLINDA DO MARANHAO;MA        
2908;GOVERNADOR NUNES FREIRE;GOVERNADOR NUNES FREIRE;MA        
002908;GOVERNADOR NUNES FREIRE;GOVERNADOR NUNES FREIRE;MA        
2909;SANTA LUZIA DO PARUA;SANTA LUZIA DO PARUA;MA        
002909;SANTA LUZIA DO PARUA;SANTA LUZIA DO PARUA;MA        
2910;PRESIDENTE MEDICI;PRESIDENTE MEDICI;MA        
002910;PRESIDENTE MEDICI;PRESIDENTE MEDICI;MA        
2911;MARANHAOZINHO;MARANHAOZINHO;MA        
002911;MARANHAOZINHO;MARANHAOZINHO;MA        
2918;VITORIA DO MEARIM;VITORIA DO MEARIM;MA        
002918;VITORIA DO MEARIM;VITORIA DO MEARIM;MA        
2921;ARARI;ARARI;MA        
002921;ARARI;ARARI;MA        
2922;MIRANDA DO NORTE;MIRANDA DO NORTE;MA        
002922;MIRANDA DO NORTE;MIRANDA DO NORTE;MA        
2924;SAO MATEUS DO MARANHAO;SAO MATEUS DO MARANHAO;MA        
002924;SAO MATEUS DO MARANHAO;SAO MATEUS DO MARANHAO;MA        
2927;MATOES DO NORTE;MATOES DO NORTE;MA        
002927;MATOES DO NORTE;MATOES DO NORTE;MA        
2929;ITAPECURU MIRIM;ITAPECURU MIRIM;MA        
002929;ITAPECURU MIRIM;ITAPECURU MIRIM;MA        
2938;PINHEIRO;PINHEIRO;MA        
002938;PINHEIRO;PINHEIRO;MA        
2943;SANTA RITA;SANTA RITA;MA        
002943;SANTA RITA;SANTA RITA;MA        
2944;BACABEIRA;BACABEIRA;MA        
002944;BACABEIRA;BACABEIRA;MA        
2964;VARGEM GRANDE;VARGEM GRANDE;MA        
002964;VARGEM GRANDE;VARGEM GRANDE;MA        
2969;CHAPADINHA;CHAPADINHA;MA        
002969;CHAPADINHA;CHAPADINHA;MA        
2970;ANAPURUS;ANAPURUS;MA        
002970;ANAPURUS;ANAPURUS;MA        
2975;TEOTONIO VILELA;TEOTONIO VILELA;AL        
002975;TEOTONIO VILELA;TEOTONIO VILELA;AL        
2984;SAO MIGUEL DOS CAMPOS;SAO MIGUEL DOS CAMPOS;AL        
002984;SAO MIGUEL DOS CAMPOS;SAO MIGUEL DOS CAMPOS;AL        
2987;ATALAIA;ATALAIA;AL        
002987;ATALAIA;ATALAIA;AL        
2993;RIO LARGO;RIO LARGO;AL        
002993;RIO LARGO;RIO LARGO;AL        
2994;PALMEIRA DOS INDIOS;PALMEIRA DOS INDIOS;AL        
002994;PALMEIRA DOS INDIOS;PALMEIRA DOS INDIOS;AL        
2996;BOM CONSELHO;BOM CONSELHO;PE        
002996;BOM CONSELHO;BOM CONSELHO;PE        
2997;TEREZINHA;TEREZINHA;PE        
002997;TEREZINHA;TEREZINHA;PE        
3001;BREJAO;BREJAO;PE        
003001;BREJAO;BREJAO;PE        
3010;GARANHUNS;GARANHUNS;PE        
003010;GARANHUNS;GARANHUNS;PE        
3016;LAJEDO;LAJEDO;PE        
003016;LAJEDO;LAJEDO;PE        
3018;CANHOTINHO;CANHOTINHO;PE        
003018;CANHOTINHO;CANHOTINHO;PE        
3020;QUIPAPA;QUIPAPA;PE        
003020;QUIPAPA;QUIPAPA;PE        
3022;PANELAS;PANELAS;PE        
003022;PANELAS;PANELAS;PE        
3024;CUPIRA;CUPIRA;PE        
003024;CUPIRA;CUPIRA;PE        
3025;AGRESTINA;AGRESTINA;PE        
003025;AGRESTINA;AGRESTINA;PE        
3035;SAO LUIS DO QUITUNDE;SAO LUIS DO QUITUNDE;AL        
003035;SAO LUIS DO QUITUNDE;SAO LUIS DO QUITUNDE;AL        
3036;BARRA DE SANTO ANTONIO;BARRA DE SANTO ANTONIO;AL        
003036;BARRA DE SANTO ANTONIO;BARRA DE SANTO ANTONIO;AL        
3038;MATRIZ DE CAMARAGIBE;MATRIZ DE CAMARAGIBE;AL        
003038;MATRIZ DE CAMARAGIBE;MATRIZ DE CAMARAGIBE;AL        
3040;PORTO CALVO;PORTO CALVO;AL        
003040;PORTO CALVO;PORTO CALVO;AL        
3044;MARAGOGI;MARAGOGI;AL        
003044;MARAGOGI;MARAGOGI;AL        
3045;XEXEU;XEXEU;PE        
003045;XEXEU;XEXEU;PE        
3047;PALMARES;PALMARES;PE        
003047;PALMARES;PALMARES;PE        
3052;SAO JOSE DA COROA GRANDE;SAO JOSE DA COROA GRANDE;PE        
003052;SAO JOSE DA COROA GRANDE;SAO JOSE DA COROA GRANDE;PE        
3053;BARREIROS;BARREIROS;PE        
